,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,438,438.0,438.0,438.0
mean,2020-03-11 14:04:55.890411008,55.70776255707762,73.9041095890411,65.01369863013699
min,2015-05-20 00:00:00,20.0,25.0,22.5
25%,2017-06-14 06:00:00,40.0,50.0,45.0
50%,2020-05-29 12:00:00,50.0,70.0,60.0
75%,2022-06-25 18:00:00,70.0,80.0,75.0
max,2025-06-10 00:00:00,110.0,180.0,150.0
std,,23.358248343824407,34.06058583025388,28.863024488565017
