,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,416,416.0,416.0,416.0
mean,2019-12-01 19:02:18.461538560,87.35576923076923,106.69471153846153,96.95913461538461
min,2015-05-20 00:00:00,25.0,30.0,27.5
25%,2017-06-08 18:00:00,60.0,78.75,70.0
50%,2019-06-28 12:00:00,80.0,100.0,90.0
75%,2022-06-09 06:00:00,90.0,120.0,105.0
max,2024-06-30 00:00:00,190.0,260.0,220.0
std,,37.625015587519364,49.21382478814297,43.514041641431064
