Date,District,Market,Fruit,Variety,Grade,CaseType,Min Price,Max Price,Avg Price
26-10-2017,Shopian,Aglar,Apple,Delicious,A,,,,
26-10-2017,Shopian,Aglar,Apple,Delicious,B,,,,
27-10-2017,Shopian,Aglar,Apple,Delicious,A,,,,
27-10-2017,Shopian,Aglar,Apple,Delicious,B,,,,
28-10-2017,Shopian,Aglar,Apple,Delicious,A,FC,500,600,550
28-10-2017,Shopian,Aglar,Apple,Delicious,B,FC,430,490,460
29-10-2017,Shopian,Aglar,Apple,Delicious,A,,,,
29-10-2017,Shopian,Aglar,Apple,Delicious,B,,,,
30-10-2017,Shopian,Aglar,Apple,Delicious,A,,,,
30-10-2017,Shopian,Aglar,Apple,Delicious,B,,,,
31-10-2017,Shopian,Aglar,Apple,Delicious,A,,,,
31-10-2017,Shopian,Aglar,Apple,Delicious,B,,,,
01-11-2017,Shopian,Aglar,Apple,Delicious,A,FC,500,560,530
01-11-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,450,425
02-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
02-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
03-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
03-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
04-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
04-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
05-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
05-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
06-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
06-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
07-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
07-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
08-11-2017,Shopian,Aglar,Apple,Delicious,A,FC,500,600,550
08-11-2017,Shopian,Aglar,Apple,Delicious,B,FC,430,490,460
09-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
09-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
10-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
10-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
11-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
11-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
12-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
12-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
13-11-2017,Shopian,Aglar,Apple,Delicious,A,FC,550,650,600
13-11-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,450,425
14-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
14-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
15-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
15-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
16-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
16-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
17-11-2017,Shopian,Aglar,Apple,Delicious,A,FC,550,650,600
17-11-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,450,425
18-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
18-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
19-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
19-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
20-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
20-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
21-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
21-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
22-11-2017,Shopian,Aglar,Apple,Delicious,A,FC,600,650,625
22-11-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,450,425
23-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
23-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
24-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
24-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
25-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
25-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
26-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
26-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
27-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
27-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
28-11-2017,Shopian,Aglar,Apple,Delicious,A,FC,600,650,625
28-11-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,450,425
29-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
29-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
30-11-2017,Shopian,Aglar,Apple,Delicious,A,,,,
30-11-2017,Shopian,Aglar,Apple,Delicious,B,,,,
01-12-2017,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
01-12-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,500,450
02-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
02-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
03-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
03-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
04-12-2017,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
04-12-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,500,450
05-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
05-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
06-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
06-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
07-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
07-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
08-12-2017,Shopian,Aglar,Apple,Delicious,A,FC,640,700,670
08-12-2017,Shopian,Aglar,Apple,Delicious,B,FC,440,520,480
09-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
09-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
10-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
10-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
11-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
11-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
12-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
12-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
13-12-2017,Shopian,Aglar,Apple,Delicious,A,FC,640,700,670
13-12-2017,Shopian,Aglar,Apple,Delicious,B,FC,440,520,480
14-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
14-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
15-12-2017,Shopian,Aglar,Apple,Delicious,A,FC,600,660,630
15-12-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,440,420
16-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
16-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
17-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
17-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
18-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
18-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
19-12-2017,Shopian,Aglar,Apple,Delicious,A,FC,600,660,630
19-12-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,440,420
20-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
20-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
21-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
21-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
22-12-2017,Shopian,Aglar,Apple,Delicious,A,FC,600,660,630
22-12-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,440,420
23-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
23-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
24-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
