Date,Forecast
2025-06-12,137.14944458007812
2025-06-13,137.1178436279297
2025-06-14,137.36534118652344
2025-06-15,137.68179321289062
2025-06-16,138.00677490234375
2025-06-17,138.29185485839844
2025-06-18,138.5324249267578
2025-06-19,138.7476043701172
2025-06-20,138.909423828125
2025-06-21,139.0282440185547
2025-06-22,139.1126708984375
2025-06-23,139.1686248779297
2025-06-24,139.20191955566406
2025-06-25,139.23768615722656
2025-06-26,139.24574279785156
2025-06-27,139.24578857421875
2025-06-28,139.2376251220703
