Date,Forecast
2025-06-11,147.9661102294922
2025-06-12,149.70042419433594
2025-06-13,150.76937866210938
2025-06-14,151.47840881347656
2025-06-15,152.01527404785156
2025-06-16,152.4930419921875
2025-06-17,152.97543334960938
2025-06-18,153.49761962890625
2025-06-19,154.07948303222656
2025-06-20,154.73208618164062
2025-06-21,155.4613494873047
2025-06-22,156.2725067138672
2025-06-23,157.17430114746094
2025-06-24,158.17660522460938
2025-06-25,159.2922821044922
2025-06-26,160.53656005859375
2025-06-27,161.9288330078125
2025-06-28,163.4912567138672
2025-06-29,165.25747680664062
2025-06-30,167.2576904296875
