Date,Forecast
2025-06-12,98.68928527832031
2025-06-13,100.16056823730469
2025-06-14,100.36510467529297
2025-06-15,100.5631103515625
2025-06-16,100.75205993652344
2025-06-17,100.99121856689453
2025-06-18,101.23159790039062
2025-06-19,101.48046875
2025-06-20,101.76112365722656
2025-06-21,102.0318603515625
2025-06-22,102.27684783935547
2025-06-23,102.53619384765625
2025-06-24,102.79438781738281
2025-06-25,103.0497055053711
2025-06-26,103.29936218261719
2025-06-27,103.54208374023438
2025-06-28,103.77914428710938
2025-06-29,104.00933074951172
2025-06-30,104.2305679321289
