Date,Forecast
2025-06-12,110.27449035644531
2025-06-13,110.0167007446289
2025-06-14,110.181884765625
2025-06-15,110.20262908935547
2025-06-16,110.22541046142578
2025-06-17,110.20991516113281
2025-06-18,110.24473571777344
2025-06-19,110.25261688232422
2025-06-20,110.25888061523438
2025-06-21,110.26383209228516
2025-06-22,110.27366638183594
2025-06-23,110.27782440185547
2025-06-24,110.28181457519531
2025-06-25,110.28578186035156
2025-06-26,110.28956604003906
2025-06-27,110.29234313964844
2025-06-28,110.29498291015625
2025-06-29,110.29740142822266
2025-06-30,110.29954528808594
2025-07-01,110.30140686035156
2025-07-02,110.30311584472656
2025-07-03,110.30465698242188
2025-07-04,110.30602264404297
2025-07-05,110.3072509765625
2025-07-06,110.30838012695312
2025-07-07,110.30938720703125
2025-07-08,110.31031799316406
2025-07-09,110.3111572265625
2025-07-10,110.31190490722656
