Date,Forecast
2025-06-12,127.23295593261719
2025-06-13,128.6417236328125
2025-06-14,129.30007934570312
2025-06-15,129.68414306640625
2025-06-16,129.79527282714844
2025-06-17,129.92230224609375
2025-06-18,130.04701232910156
2025-06-19,130.18075561523438
2025-06-20,130.32485961914062
2025-06-21,130.45672607421875
2025-06-22,130.59617614746094
2025-06-23,130.7646484375
2025-06-24,130.89169311523438
2025-06-25,131.01171875
2025-06-26,131.12705993652344
2025-06-27,131.23944091796875
2025-06-28,131.34779357910156
2025-06-29,131.45022583007812
2025-06-30,131.54803466796875
