Predictions,Lower Bound,Upper Bound
109.88459,109.41399,110.355194
109.778206,109.3076,110.24881
109.682365,109.21176,110.15297
109.59227,109.121666,110.062874
109.506424,109.03582,109.97703
109.42426,108.95366,109.89487
109.34551,108.87491,109.81612
109.26991,108.79931,109.74052
109.197235,108.72663,109.66784
109.12738,108.65678,109.597984
