,Arrival,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,665.0,1573.0,1573.0,1573.0,1573.0
mean,1175.5124812030076,28.3932930705658,40.48664971392244,34.42720915448188,1.0
std,3032.148652325403,13.077670005089571,16.986696254607782,14.620744426598312,0.0
min,0.0,10.0,11.0,0.0,1.0
25%,81.0,20.0,29.0,25.0,1.0
50%,300.0,25.0,40.0,32.5,1.0
75%,900.0,30.0,50.0,40.0,1.0
max,31700.0,80.0,100.0,90.0,1.0
