,Arrival,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,258.0,841.0,841.0,841.0,841.0
mean,406.3565891472868,23.745838287752676,31.513020214030917,27.608787158145063,1.0
std,344.3612436435456,6.436186318480774,9.664642772242946,7.609115332698756,0.0
min,15.0,10.0,13.0,12.5,1.0
25%,180.0,20.0,25.0,23.0,1.0
50%,270.0,22.0,30.0,27.0,1.0
75%,550.0,27.5,38.0,31.0,1.0
max,2000.0,70.0,80.0,75.0,1.0
