,Arrival,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,1484.0,2850.0,2850.0,2850.0,2909.0
mean,2107.5450808625337,33.04568421052632,56.37266666666667,44.756157894736845,0.979718116191131
std,7575.094457349728,15.49521747021343,23.06751209672414,18.121664790915244,0.14098709889479916
min,0.0,10.0,20.0,0.0,0.0
25%,85.75,22.0,40.0,32.5,1.0
50%,308.5,30.0,50.0,42.0,1.0
75%,1080.0,40.0,70.0,52.5,1.0
max,234500.0,120.0,160.0,130.0,1.0
