,Arrival,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,185.0,360.0,360.0,360.0,360.0
mean,193.83783783783784,24.54361111111111,31.522222222222222,28.05902777777778,1.0
std,275.41355401365075,7.769002277918646,11.024639689565435,9.05804681728202,0.0
min,3.0,10.0,13.0,12.5,1.0
25%,35.0,20.0,24.0,21.5,1.0
50%,65.0,25.0,30.0,27.5,1.0
75%,234.0,30.0,40.0,33.0,1.0
max,1220.0,80.0,100.0,90.0,1.0
