Date,District,Market,Fruit,Grade,Variety,Min Price,Max Price,Avg Price
6/4/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/5/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/5/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
6/5/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/6/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,75,95,85
6/6/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,45,50,47.5
6/6/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/7/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,75,95,85
6/7/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,45,50,47.5
6/7/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/8/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,120,105
6/8/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,65,62.5
6/8/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/9/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,120,105
6/9/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,65,62.5
6/9/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/10/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,120,105
6/10/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,65,62.5
6/10/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/11/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,120,105
6/11/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,65,62.5
6/11/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/12/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
6/12/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,55,52.5
6/12/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/13/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
6/13/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,55,52.5
6/13/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/14/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/14/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
6/14/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/15/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/15/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
6/15/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/16/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/16/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
6/16/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/17/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/17/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
6/17/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/18/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/18/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
6/18/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/19/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/19/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
6/19/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/20/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
6/20/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,45,50,47.5
6/20/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/21/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
6/21/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,45,50,47.5
6/21/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/22/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
6/22/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,45,50,47.5
6/22/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/23/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
6/23/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,45,50,47.5
6/23/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/24/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
6/24/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,55,52.5
6/24/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/25/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
6/25/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,55,52.5
6/25/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/26/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/26/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
6/26/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/27/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/27/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
6/27/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/28/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/28/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
6/28/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/29/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/29/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
6/29/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/30/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/30/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
6/30/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
7/1/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
7/1/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
7/1/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
7/2/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
7/2/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,55,52.5
7/2/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
7/3/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
7/3/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,55,52.5
7/3/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
7/4/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,60,70,65
7/4/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,35,40,37.5
7/4/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,30,25
7/5/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,60,70,65
7/5/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,35,40,37.5
7/5/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,30,25
7/6/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,120,140,130
7/6/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,90,100,95
7/6/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,50,70,60
7/7/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,120,140,130
7/7/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,90,100,95
7/7/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,50,70,60
7/8/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
7/8/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
7/8/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
7/9/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,100,120,110
7/9/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,80,85,82.5
7/9/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,40,50,45
7/10/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,100,120,110
7/10/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,80,85,82.5
7/10/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,40,50,45
5/15/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,60,90,75
5/15/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,30,60,45
5/15/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,40,30
5/16/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,60,90,75
5/16/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,30,60,45
5/16/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,40,30
5/17/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,60,90,75
5/17/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,30,60,45
5/17/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,40,30
5/18/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,60,90,75
5/18/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,30,60,45
5/18/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,40,30
5/19/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,60,90,75
5/19/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,30,60,45
5/19/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,40,30
5/20/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,60,90,75
5/20/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,30,60,45
5/20/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,40,30
5/21/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,60,90,75
5/21/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,30,60,45
5/21/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,40,30
5/22/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,60,90,75
5/22/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,30,60,45
5/22/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,40,30
5/23/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
5/23/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
5/23/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
5/24/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
5/24/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
5/24/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
5/25/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
5/25/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
5/25/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
5/26/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
5/26/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
5/26/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
5/27/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
5/27/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
5/27/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
5/28/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
5/28/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
5/28/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
5/29/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
5/29/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
5/29/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
5/30/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
5/30/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
5/30/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
5/31/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
5/31/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
5/31/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/1/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
6/1/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
6/1/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/2/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
6/2/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
6/2/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/3/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
6/3/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
