Date,District,Market,Fruit,Variety,Grade,Min Price,Max Price,Avg Price
6/11/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/11/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,35,32.5
6/12/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/12/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/12/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,20,25,22.5
6/13/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,60,65,62.5
6/13/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/13/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/14/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,70,75,72.5
6/14/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/14/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,35,32.5
6/15/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,70,75,72.5
6/15/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/15/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,35,32.5
6/16/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,70,75,72.5
6/16/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/16/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,35,32.5
6/17/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,70,75,72.5
6/17/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/17/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,35,32.5
6/18/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,70,75,72.5
6/18/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/18/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,35,32.5
6/19/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/19/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/19/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/20/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/20/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/20/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/21/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/21/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/21/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/22/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/22/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/22/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/23/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/23/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/23/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/24/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/24/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/24/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/25/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/25/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/25/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/26/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/26/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/26/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/27/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/27/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
